month,division,line,day_type,num_sched_trains,num_actual_trains,service delivered
2024/4/1,B DIVISION,E,2,690,681,98.695654
2024/4/1,B DIVISION,E,1,1635,1506,92.11009
2024/4/1,B DIVISION,F,2,1220,1205,98.770493
2024/4/1,B DIVISION,F,1,3039,2835,93.287265
2024/4/1,B DIVISION,G,2,1802,1783,98.94562
2024/4/1,B DIVISION,G,1,995,944,94.87437
2024/4/1,B DIVISION,JZ,2,835,829,99.281436
2024/4/1,B DIVISION,JZ,1,1074,1035,96.36871
2024/4/1,B DIVISION,L,2,704,688,97.727275
2024/4/1,B DIVISION,L,1,2025,1975,97.530866
2024/4/1,B DIVISION,M,2,814,774,95.085996
2024/4/1,B DIVISION,M,1,1896,1743,91.93038
2024/4/1,B DIVISION,N,2,956,925,96.75732
2024/4/1,B DIVISION,N,1,1913,1806,94.40669
2024/4/1,B DIVISION,Q,1,2180,2089,95.82569
2024/4/1,B DIVISION,Q,2,1576,1496,94.92386
2024/4/1,B DIVISION,R,2,1286,1219,94.79005
2024/4/1,B DIVISION,R,1,2199,2023,91.99636
2024/4/1,B DIVISION,S Fkln,1,756,754,99.73545
2024/4/1,B DIVISION,S Fkln,2,654,649,99.235475
2024/4/1,B DIVISION,S Rock,2,434,432,99.53917
2024/4/1,B DIVISION,S Rock,1,454,456,100.44053
2024/4/1,B DIVISION,W,1,819,760,92.796093
2024/4/1,Systemwide,Systemwide,1,45950,43714,95.13384
2024/4/1,Systemwide,Systemwide,2,24041,23452,97.550017
2024/3/1,A DIVISION,1,1,1708,1610,94.262296
2024/3/1,A DIVISION,1,2,1170,1133,96.837604
2024/3/1,A DIVISION,2,1,2221,2113,95.13733
2024/3/1,A DIVISION,2,2,1537,1413,91.93234
2024/3/1,A DIVISION,3,1,2090,2034,97.320575
2024/3/1,A DIVISION,3,2,1513,1451,95.90218
2024/3/1,A DIVISION,4,1,2822,2675,94.79093
2024/3/1,A DIVISION,4,2,2319,2206,95.12721
2024/3/1,A DIVISION,5,1,2627,2407,91.62543
2024/3/1,A DIVISION,5,2,1399,1350,96.4975
2024/3/1,A DIVISION,6,1,2129,1953,91.733205
2024/3/1,A DIVISION,6,2,1419,1390,97.956306
2024/3/1,A DIVISION,7,1,2644,2608,98.63843
2024/3/1,A DIVISION,7,2,897,890,99.21962
2024/3/1,A DIVISION,S 42nd,1,2052,2048,99.80507
2024/3/1,A DIVISION,S 42nd,2,1812,1796,99.117
2024/3/1,B DIVISION,A,1,2583,2414,93.45722
2024/3/1,B DIVISION,A,2,1863,1833,98.38969
2024/3/1,B DIVISION,B,1,1639,1483,90.482
2024/3/1,B DIVISION,C,2,1530,1465,95.75163
2024/3/1,B DIVISION,C,1,1521,1410,92.70217
2024/3/1,B DIVISION,D,1,1832,1719,93.83188
2024/3/1,B DIVISION,D,2,1525,1487,97.5082
2024/3/1,B DIVISION,E,2,917,892,97.27372
2024/3/1,B DIVISION,E,1,1479,1379,93.238676
2024/3/1,B DIVISION,F,2,1116,1096,98.207885
2024/3/1,B DIVISION,F,1,1807,1711,94.687325
2024/3/1,B DIVISION,G,2,2162,2109,97.54857
2024/3/1,B DIVISION,G,1,910,875,96.153843
2024/3/1,B DIVISION,JZ,2,1053,1016,96.48623
2024/3/1,B DIVISION,JZ,1,1034,1009,97.582203
2024/3/1,B DIVISION,L,1,1928,1919,99.533194
2024/3/1,B DIVISION,L,2,1313,1287,98.0198
2024/3/1,B DIVISION,M,1,711,720,101.26582
2024/3/1,B DIVISION,M,2,999,975,97.5976
2024/3/1,B DIVISION,N,1,1819,1719,94.50247
2024/3/1,B DIVISION,N,2,1227,1190,96.98452
2024/3/1,B DIVISION,Q,1,2086,1961,94.00767
2024/3/1,B DIVISION,Q,2,931,915,98.28142
2024/3/1,B DIVISION,R,1,2190,2013,91.917807
2024/3/1,B DIVISION,R,2,1849,1817,98.26934
2024/3/1,B DIVISION,S Fkln,1,726,728,100.27548
2024/3/1,B DIVISION,S Fkln,2,858,848,98.834497
2024/3/1,B DIVISION,S Rock,1,420,416,99.04762
2024/3/1,B DIVISION,S Rock,2,532,525,98.68421
2024/3/1,B DIVISION,W,1,786,727,92.49364
2024/3/1,Systemwide,Systemwide,1,41764,39651,94.94062
2024/3/1,Systemwide,Systemwide,2,29941,29084,97.1377
2024/2/1,A DIVISION,1,1,1627,1529,93.976647
2024/2/1,A DIVISION,1,2,1065,1005,94.3662
2024/2/1,A DIVISION,2,1,2104,1938,92.110264
2024/2/1,A DIVISION,2,2,1508,1345,89.190984
2024/2/1,A DIVISION,3,1,1988,1880,94.567406
2024/2/1,A DIVISION,3,2,615,587,95.44715
2024/2/1,A DIVISION,4,1,2696,2593,96.17953
2024/2/1,A DIVISION,4,2,1856,1697,91.43319
2024/2/1,A DIVISION,5,1,2459,2285,92.92395
2024/2/1,A DIVISION,5,2,798,745,93.3584
2024/2/1,A DIVISION,6,1,1953,1843,94.36764
2024/2/1,A DIVISION,6,2,1111,1058,95.229524
2024/2/1,A DIVISION,7,2,1040,1027,98.75
2024/2/1,A DIVISION,7,1,2663,2594,97.40894
2024/2/1,A DIVISION,S 42nd,1,1966,1959,99.643946
2024/2/1,A DIVISION,S 42nd,2,1392,1392,100
2024/2/1,B DIVISION,A,2,1253,1227,97.92498
2024/2/1,B DIVISION,A,1,2405,2262,94.054055
2024/2/1,B DIVISION,B,1,1537,1394,90.69616
2024/2/1,B DIVISION,C,1,1473,1336,90.699255
2024/2/1,B DIVISION,C,2,1050,975,92.85714
2024/2/1,B DIVISION,D,1,1749,1623,92.795885
2024/2/1,B DIVISION,D,2,1210,1144,94.545454
2024/2/1,B DIVISION,E,2,530,509,96.037734
2024/2/1,B DIVISION,E,1,1343,1229,91.51154
2024/2/1,B DIVISION,F,2,759,729,96.04743
2024/2/1,B DIVISION,F,1,2734,2399,87.74689
2024/2/1,B DIVISION,G,2,1353,1335,98.669624
2024/2/1,B DIVISION,G,1,898,834,92.87305
2024/2/1,B DIVISION,JZ,2,621,583,93.88084
2024/2/1,B DIVISION,JZ,1,968,933,96.3843
2024/2/1,B DIVISION,L,2,1581,1453,91.90386
2024/2/1,B DIVISION,L,1,1846,1800,97.508126
2024/2/1,B DIVISION,M,2,645,611,94.728684
2024/2/1,B DIVISION,M,1,653,645,98.774886
2024/2/1,B DIVISION,N,1,1780,1657,93.08989
2024/2/1,B DIVISION,N,2,1233,1148,93.106246
2024/2/1,B DIVISION,Q,1,1972,1832,92.90061
2024/2/1,B DIVISION,Q,2,1518,1429,94.137025
2024/2/1,B DIVISION,R,1,2134,1917,89.831305
2024/2/1,B DIVISION,R,2,1080,1034,95.74074
2024/2/1,B DIVISION,S Fkln,2,654,638,97.553515
2024/2/1,B DIVISION,S Fkln,1,684,684,100
2024/2/1,B DIVISION,S Rock,1,399,401,100.50125
2024/2/1,B DIVISION,S Rock,2,427,423,99.06323
2024/2/1,B DIVISION,W,1,745,657,88.18792
2024/2/1,Systemwide,Systemwide,1,40776,38224,93.741417
2024/2/1,Systemwide,Systemwide,2,23299,22094,94.828105
2024/1/1,A DIVISION,1,1,1696,1499,88.38443
2024/1/1,A DIVISION,1,2,864,819,94.79167
2024/1/1,A DIVISION,2,1,2244,2027,90.329766
2024/1/1,A DIVISION,2,2,1117,1067,95.523727
2024/1/1,A DIVISION,3,2,1069,1038,97.10009
2024/1/1,A DIVISION,3,1,2069,1937,93.620104
2024/1/1,A DIVISION,4,1,2941,2744,93.3016
2024/1/1,A DIVISION,4,2,1832,1764,96.28821
2024/1/1,A DIVISION,5,1,2778,2550,91.792655
2024/1/1,A DIVISION,5,2,751,741,98.668444
2024/1/1,A DIVISION,6,1,2194,2076,94.621694
2024/1/1,A DIVISION,6,2,1136,1098,96.65493
2024/1/1,A DIVISION,7,1,2758,2550,92.4583
2024/1/1,A DIVISION,S 42nd,1,2103,2070,98.43081
2024/1/1,A DIVISION,S 42nd,2,1440,1440,100
2024/1/1,B DIVISION,A,1,2716,2491,91.71576
2024/1/1,B DIVISION,A,2,1480,1428,96.486485
2024/1/1,B DIVISION,B,1,1752,1600,91.3242
2024/1/1,B DIVISION,C,1,1611,1468,91.12353
2024/1/1,B DIVISION,C,2,1230,1163,94.552845
2024/1/1,B DIVISION,D,2,1230,1180,95.93496
2024/1/1,B DIVISION,D,1,1845,1709,92.628723
2024/1/1,B DIVISION,E,2,913,881,96.495074
2024/1/1,B DIVISION,E,1,1555,1465,94.212216
2024/1/1,B DIVISION,F,2,1245,1202,96.546185
2024/1/1,B DIVISION,F,1,3016,2634,87.334216
2024/1/1,B DIVISION,G,2,1783,1789,100.33652
2024/1/1,B DIVISION,G,1,978,938,95.91002
2024/1/1,B DIVISION,JZ,2,861,819,95.12195
2024/1/1,B DIVISION,JZ,1,1074,1024,95.34451
2024/1/1,B DIVISION,L,2,1539,1469,95.451593
2024/1/1,B DIVISION,L,1,2049,1939,94.63153
2024/1/1,B DIVISION,M,2,866,843,97.34411
2024/1/1,B DIVISION,M,1,758,756,99.73615
2024/1/1,B DIVISION,N,1,1919,1739,90.62011
2024/1/1,B DIVISION,N,2,625,576,92.16
2024/1/1,B DIVISION,Q,1,2124,1916,90.207154
2024/1/1,B DIVISION,Q,2,457,418,91.46608
2024/1/1,B DIVISION,R,1,2345,2119,90.36247
2024/1/1,B DIVISION,R,2,1841,1695,92.069525
2024/1/1,B DIVISION,S Fkln,1,762,760,99.73753
2024/1/1,B DIVISION,S Fkln,2,664,658,99.09639
2024/1/1,B DIVISION,S Rock,1,439,439,100
2024/1/1,B DIVISION,S Rock,2,429,426,99.3007
2024/1/1,B DIVISION,W,1,831,741,89.169675
2024/1/1,Systemwide,Systemwide,1,44557,41191,92.44563
2024/1/1,Systemwide,Systemwide,2,23372,22514,96.32894
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
